DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_TMY0: Infant deaths,F: Female,2018,25852,,D: Number of deaths,A: Normal value,,21424,30395,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_TMY0: Infant deaths,M: Male,2018,31542,,D: Number of deaths,A: Normal value,,26185,37061,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_TMY0: Infant deaths,_T: Total,2018,57394,,D: Number of deaths,A: Normal value,,47776,67195,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_TMY0: Infant deaths,F: Female,2018,124,,D: Number of deaths,A: Normal value,,117,131,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_TMY0: Infant deaths,M: Male,2018,165,,D: Number of deaths,A: Normal value,,157,176,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_TMY0: Infant deaths,_T: Total,2018,289,,D: Number of deaths,A: Normal value,,275,304,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_TMY0: Infant deaths,F: Female,2018,9489,,D: Number of deaths,A: Normal value,,9258,9722,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_TMY0: Infant deaths,M: Male,2018,11386,,D: Number of deaths,A: Normal value,,11115,11658,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_TMY0: Infant deaths,_T: Total,2018,20875,,D: Number of deaths,A: Normal value,,20397,21350,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AND: Andorra,CME_TMY0: Infant deaths,F: Female,2018,1,,D: Number of deaths,A: Normal value,,0,3,,,,,,,,,,_T: Total
