"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"MDG_0000000025","PUBLISHED","2010","EMR","AFG","","","34","34.30000","",""," APHI/MoPH [Afghanistan], CSO [Afghanistan], ICF Macro, IIHMR [India], WHO/EMRO; 2011. "
"MDG_0000000025","PUBLISHED","2016","AFR","AGO","","","47","46.60000","","","Survey for years 2015-2016. DHS 2015-2016."
"MDG_0000000025","PUBLISHED","2007","AFR","AGO","","","47","47.30000","","","Survey for years 2006-2007. MIS 2006-07. Consultoria de Serviços e Pesquisas–COSEP Lda., Consultoria de Gestão e Administração em Saúde–Consaúde Lda. [Angola], Macro International Inc.; 2007.Definition includes other cadres that is not in alignment with the standard definition"
"MDG_0000000025","PUBLISHED","2014","AMR","ARG","","","100","99.60000","","","Ministerio de Salud [Argentina]; 2015."
"MDG_0000000025","PUBLISHED","2013","AMR","ARG","","","97","97.00000","","","Ministerio de Salud [Argentina]; 2014."
"MDG_0000000025","PUBLISHED","2012","AMR","ARG","","","98","98.20000","","","Ministerio de Salud [Argentina]; 2013."
"MDG_0000000025","PUBLISHED","2011","AMR","ARG","","","97","97.10000","","","Ministerio de Salud [Argentina]; 2012."
"MDG_0000000025","PUBLISHED","2013","EUR","ARM","","","100","100.00000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2016. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2012","EUR","ARM","","","100","100.00000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2016. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2011","EUR","ARM","","","100","100.00000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2016. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2014","AMR","ATG","","","100","100.00000","","","WHO/PAHO; 2015. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2013","AMR","ATG","","","100","100.00000","","","WHO/PAHO; 2014. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2013","WPR","AUS","","","99","99.30000","",""," Australian Institute of Health and Welfare (AIHW); 2015. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2012","WPR","AUS","","","99","99.20000","",""," Hilder L,Zhichao Z, Parker M, Jahan S, Chambers GM.  Australian Institute of Health and Welfare (AIHW); 2014.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2017","EUR","AUT","","","98","98.40000","","","Statistics Austria; 2018.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2015","EUR","AUT","","","99","98.50000","","","Statistics Austria; 2017.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2014","EUR","AUT","","","99","98.50000","","","Statistik Austria; 2015.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2000","EUR","AUT","","","98","98.30000","","","Statistik Austria; 2005.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2018","EUR","AZE","","","99","99.40000","","","State Statistical Committee of the Republic of Azerbaijan; 2019.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2017","EUR","AZE","","","100","99.80000","","","State Statistical Committee of the Republic of Azerbaijan; 2018.No / unclear definition of the cadres included"
