Geographic area	Indicator	Sex	TIME_PERIOD	OBS_VALUE	Unit multiplier	Unit of measure	Observation Status	Observation confidentaility	LOWER_BOUND	UPPER_BOUND	WGTD_SAMPL_SIZE	OBS_FOOTNOTE	SERIES_FOOTNOTE	DATA_SOURCE	SOURCE_LINK	CUSTODIAN	Time period activity related to when the data are collected	REF_PERIOD	COVERAGE_TIME	Current age
Afghanistan	Infant mortality rate	Female	2019	43.0507312649387		Deaths per 1000 live births	Normal value		34.8164281627261	51.9588790560919				UN_IGME						Total
Afghanistan	Under-five mortality rate	Female	2019	56.5660573926649		Deaths per 1000 live births	Normal value		44.5375091626595	70.1786930695122				UN_IGME						Total
Afghanistan	Child mortality rate (aged 1-4 years)	Female	2019	14.0650232726173		Deaths per 1000 children aged 1	Normal value		9.92917981555262	19.4142845637841				UN_IGME						Total
Afghanistan	Infant mortality rate	Male	2019	49.8006890924079		Deaths per 1000 live births	Normal value		40.1969694714652	59.9467287343481				UN_IGME						Total
Afghanistan	Under-five mortality rate	Male	2019	63.8315902294709		Deaths per 1000 live births	Normal value		50.0426311096826	79.1597897457178				UN_IGME						Total
Afghanistan	Child mortality rate (aged 1-4 years)	Male	2019	14.7365096494159		Deaths per 1000 children aged 1	Normal value		10.2599567718732	20.5447303669971				UN_IGME						Total
Afghanistan	Infant mortality rate	Total	2019	46.5128248805674		Deaths per 1000 live births	Normal value		37.70591557629	55.8186836711784				UN_IGME						Total
Afghanistan	Under-five mortality rate	Total	2019	60.2693988605884		Deaths per 1000 live births	Normal value		47.4420698448729	74.6160409360527				UN_IGME						Total
Afghanistan	Child mortality rate (aged 1-4 years)	Total	2019	14.4276444822006		Deaths per 1000 children aged 1	Normal value		10.1176495075828	19.9086308439588				UN_IGME						Total
Afghanistan	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2020	78	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Afghanistan	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2020	70	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Afghanistan	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2020	66	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Afghanistan	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2020	75	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
